section_title	title	text
Built-in variables	Using variables to manage conversation information	Built-in variables\nIn addition to the variables you create, watsonx Assistant provides a set of built-in variables you can access from any action. At run time, these variables are automatically set with the appropriate values. For example, the Current time              session variable always provides the current time in the user's time zone, at the time of the interaction with the customer.\nTo see these variables, click Variables on the Actions page.\n\n\nThe Set by assistant page shows built-in session variables that are automatically provided for each assistant.\n\n\nThe Set by integration page shows variables that are automatically provided by the integration your customer is using to connect to the assistant. (These variables are not set if no integration is connected.)\n\n\nSet by assistant:\n\nVariables set by assistant\n\n\nVariable name\nVariable ID\nDescription\nExamples\n\n\n\n\nDigressed from\ndigressed_from\nLast action before the customer digressed (or null if not digressed)\nPay bill\n\n\nNow\nnow\nThe current date and time in the user's time zone.\n2021-08-11T11:28:02\n\n\nCurrent time\ncurrent_time\nThe current time in the user's time zone.\n11:28:02\n\n\nCurrent date\ncurrent_date\nThe current date in the user's time zone.\n2021-08-11\n\n\nFallback reason\nfallback_reason\nThe reason why a user is routed to the fallback action\nStep validation failed - Agent requested - No action matches\n\n\nNo action matches count\nno_action_matches_count\nRepresents a count of customer's consecutive unrecognized input attempts\n3\n\n\nSession history IBM Cloud\nsession_history\nThe 24 most recent messages from the customer’s conversation. For more information, see Session history\n[{u : 'book a flight', n : true}, {a : 'sure! from where?'}]\n\n\n\nSet by integration:\n\nVariables set by integration\n\n\nVariable name\nVariable ID\nDescription\nExample\n\n\n\n\nTimezone\ntimezone\nThe user's time zone as specified by the integration or API client. The default time zone (if not specified by the integration) is Coordinated Universal Time.\nAmerica/New_York
Built-in variables	Using variables to manage conversation information	Locale\nlocale\nThe user's locale as set by the integration or API client. The locale can affect understanding and formatting of dates, times, and numbers.\nen-gb\n\n\nChannel Name\nchannel_name\nThe name of the channel that your user is interacting with.\nWeb chat
Storing a value in a session variable	Using variables to manage conversation information	Storing a value in a session variable\nAny action can store a value in a session variable so it is available to other actions. To store a value in a session variable:\n\n\nFrom within a step, click Set variable values.\n\n\nClick Set new value.\n\n\nIn the Set drop-down list, your choices are:\n\nSet variable values\n\n\nChoice\nDescription\n\n\n\n\nSession variable\nThe session variable that you want to store the value in. The new value replaces any previous value that is stored.\n\n\nIntegration variable\nThe session variable that you want to store the value in. The new value replaces any previous value that is stored.\n\n\nExpression\nWrite an expression directly without first picking a variable. For more information, see Writing expressions.\n\n\n+ New session variable\nYou can create a new session variable, which is added to the list of session variables for the assistant. For more information, see Creating a session variable.\n\n\n\n\n\nIn the To drop-down list, the choices vary depending on the type of variable you're setting. Possible choices include:\n\nSet variable values\n\n\nChoice\nDescription\n\n\n\n\nScalar value by type\nSet a specific value for each variable type. The choice varies depending on the variable type. For example, for a date variable, the choice is Enter a date, and you can use a date picker to set a date. Other choices\n                      appear for Boolean, confirmation, currency, date, free text, number, percentage, and time.\n\n\nExpression\nWrite an expression to define the value for the session variable. For more information about expressions, see Writing expressions.\n\n\nAction variables\nSelect an action variable to use the value of a customer response in another step. The choices that are listed match the type of variable that you want to set.\n\n\nSession variables\nSelect another session variable to use its value. The choices that are listed match the type of variable that you want to set.\n\n\nAssistant variables\nSelect a built-in system variable to use its value. The choices that are listed match the type of variable that you want to set.\n\n\nIntegration variables\nIf you are setting an integration variable, you can choose other integration variables as the value.\n\n\n\n\n\nTo set more variable values in the same step, click Set new value.
Using variables to manage conversation flow	Using variables to manage conversation information	\nUsing variables to manage conversation flow\nOne of the ways you can use variables is to choose the correct path through the conversation, based on customer responses and other values available at run time. You can do this by defining step conditions, which determine whether a specific\n            step in an action is executed based on runtime conditions.\nBy defining a condition based on an action variable, you can control whether a step is executed based on the customer's response to a previous step. You can also build step conditions based on session variables, which can store information from\n            other actions.\nFor more information about step conditions, see Defining step conditions.\n
Using variables to customize the conversation	Using variables to manage conversation information	Using variables to customize the conversation\nYou can also use variables in what your assistant says, dynamically referencing information that has been collected during the conversation. This is useful for confirming information the customer has provided (for example, You want to transfer $153.14 to your checking account. Is that correct?),\n            and for simply personalizing the conversation to make it more human (Hi, John. How can I help you today?).\nTo reference a variable in what your assistant says:\n\n\nIn the Assistant says field, start typing the text for the response.\n\n\nWhen you reach a point where you want to insert a reference to a variable, type a dollar sign ($) or click the Insert a variable icon (). A list\n                appears showing the variables you can choose from.\n\n\nClick a variable to add a reference to it in the text.\n\n\nWhen you reference a variable, it appears using a default format in your assistant's response. The format of the variable might differ from the way the value is stored; for example, a date value of 2021-08-11 is formatted as August 11, 2021            by default.\nThe default formats are as follows:\n\nDefault formats for variables\n\n\nType\nFormat\nExamples\n\n\n\n\nOptions\nAs chosen by the user\nYes No\n\n\nNumber\nNumerals only\n1000\n\n\nDate\nMmm DD, YYYY\nJun 30, 2021\n\n\nTime\nH:MM:SS AM\n5:15:00 PM\n\n\nCurrency\nNumber only, no currency symbol\n20\n\n\nPercent\nNumber only, no percentage symbol\n20\n\n\nFree text\nAs entered by the user\nPlease check that the apples aren't bruised\n\n\n\nWhen building an assistant response that includes variables, you concatenate multiple parts (text strings and variables). A single response can consist of no more than 30 concatenated parts (for example, 15 variables along with 15 text strings).
Referencing expressions	Using variables to manage conversation information	\nReferencing expressions\nIf you need to reference a dynamic value that is calculated using an expression, you must first assign this value to a session variable. (For more information about how to do this, see Storing a value in a session variable.)\n              You can then reference the session variable in the Assistant says field.\nNote that the <?...?> syntax for referencing expressions in assistant output is not supported in actions.\n
Configuring suggestions	Configuring suggestions	Configuring suggestions\nSuggestions give your customers a way to try something else when the current exchange with the assistant isn't delivering what they expect. A question mark icon  is displayed\n          in the web chat that customers can click at any time to see other topics that might be of interest or, if configured, to request support. Customers can click a suggested topic to submit it as input or click the X icon to close\n          the suggestions list.\nIf customers select a suggestion and the response is not helpful, they can open the suggestions list again to try a different suggestion. The input generated by the first choice is submitted and recorded as part of the conversation. However, any\n          contextual information that is generated by the initial suggestion is reset when the subsequent suggestion is submitted.\nThe suggestions are shown automatically in situations where the customer might otherwise become frustrated. For example, if a customer uses different wording to ask the same question multiple times in succession, and the same action is triggered\n          each time, then related topic suggestions are shown in addition to the triggered action's response. The suggestions that are offered give the customer a quick way to get the conversation back on track.\nThe suggestions list is populated with actions that are relevant in some way to the matched action. The actions are ones that the AI model considered to be possible alternatives, but that didn't meet the high confidence threshold that is required\n          for an action to be listed as a disambiguation option. Any action can be shown as a suggestion, unless its Ask clarifying question setting is set to Off. For more information about the Ask clarifying question          setting, see Asking clarifying questions.\nTo configure suggestions, complete the following steps:\n\n\nOpen the Suggestions tab.\nSuggestions are enabled automatically for new web chat integrations. If you don't want to use suggestions, toggle the switch to Off.
Configuring suggestions	Configuring suggestions	In the Include a connection to support section, specify when you want an option to connect with support to be included in the list of suggestions. You can specify Always, Never, or After one failed attempt.\nAfter one failed attempt: Adds the option to the list only if the customer reached a node with an anything_else condition in the previous conversation turn or reaches the same action for a second time in succession.\n\n\nIn the Option label field, type the text of the message that requests help from support. This message is shown as the label for the support option, which is included in the Suggestions window under the circumstances\n              you specified in the previous step. If the customer clicks this option, the same message is sent to the assistant.\nThe message you specify should trigger an action that gives customers a way to connect with support. By default, the message Connect with agent is used. If your web chat is integrated with a contact center platform, this message\n              initiates a transfer to a human agent. (For more information about integrating with a contact center, see Adding contact center support.)\nIf your web chat is not integrated with a contact center, specify a message that helps your customers reach whatever form of support you do offer. If you offer a toll-free support line, you might add Get the support line phone number.\n              Or if you offer an online support request form, you might add Open a support ticket.\nWhether you use the default support message or add your own, make sure your action is designed to recognize the message and respond to it appropriately.
Web chat overview	Web chat overview	\nWeb chat overview\nYou can use the web chat integration to deploy your assistant on your website or embed it as a WebView in your mobile app. The web chat integration provides an easy-to-use chatbot interface that can integrate seamlessly with your site, without\n          requiring the time and effort that would be required to build your own custom user interface.\nThe web chat can help your customers start the conversation with common questions or tasks; it can display multimedia and interactive elements such as forms, and it can transfer customers to human agents for more help. A developer can customize\n          the web chat to add even more capabilities.\n
Why use the web chat?	Web chat overview	Why use the web chat?\nBuilding a custom user interface requires spending time and effort solving typical UI problems. For example, you need to design the layout and styling, keep up with browser changes, manage scrolling behavior, validate input, and comply with\n            accessibility requirements. The time you spend building and maintaining a custom UI is better spent building a high-quality assistant instead.\nThe web chat widget uses cutting-edge functionality from IBM Design and Research to engage your users when they need help, answer their questions quickly and efficiently, and provide fallback options so there is always a path to a solution.\n            The web chat is easy for you to deploy and easy for customers to use, it is secure, and it supports a wide range of desktop and mobile browsers.\nThe web chat is also customizable, which means that you can take advantage of the web chat functionality while still maintaining consistency with your website style and branding, adding custom UI elements, and integrating with external systems\n            (such as live agent tools or CRM systems).
What you can do with the web chat	Web chat overview	What you can do with the web chat\nYou can quickly deploy the web chat to your website (or even to a local test page) and see how it works. You can also use the web chat integration settings in the watsonx Assistant user interface to configure the web chat for your website and\n            your customers.\nIf you are a developer, you can further customize and extend the web chat by writing code and using the web chat API. You can also use a WebView with a JavaScript bridge to add the web chat to your mobile app.\nThe following documentation topics provide more information about the capabilities of the web chat integration, how to configure and deploy it, and how to customize it.\n\nHow the web chat works: Overview of web chat capabilities and architecture\nEmbedding the web chat on your page: How to embed the web chat widget on your website\nWeb chat setup: How to configure the web chat using the integration settings\nWeb chat development: How to customize and extend the web chat by writing code\nAdding contact center support: How to integrate the web chat with a contact center platform so you can connect your customers to human agents
Advanced analysis and log-related tasks	Advanced analysis and log-related tasks	\nAdvanced analysis and log-related tasks\n
Classic experience only	Advanced analysis and log-related tasks	\nClassic experience only\nThis information applies to dialog skill analytics in the classic experience. For information about analytics in watsonx Assistant, see Use analytics to review your entire assistant at a glance.\nLearn about notebooks and APIs that you can use to access and analyze log data.\n
Using Jupyter notebooks for analysis	Advanced analysis and log-related tasks	\nUsing Jupyter notebooks for analysis\nIBM created Jupyter notebooks that you can use to analyze the behavior or your assistant. A Jupyter notebook is a web-based environment for interactive computing. You can run small pieces of code that process your data, and you can immediately\n            view the results of your computation.\nYou can use the notebooks with English-language skills only.\n
Analysis notebooks	Advanced analysis and log-related tasks	\nAnalysis notebooks\nAnalysis notebooks are available for:\n\nIBM Watson® Studio\nStandard Python tools\n\nWatson Studio provides an environment where you can:\n\nChoose the tools that you need to analyze and visualize data.\nCleanse and shape data.\nIngest streaming data.\nCreate, train, and deploy machine learning models.\n\nFor more information, see the product documentation.\nThe watsonx Assistant Continuous Improvement Best Practices Guide              describes how to get the most out of these notebooks.\n
Using the notebooks with Watson Studio	Advanced analysis and log-related tasks	Using the notebooks with Watson Studio\nThe following notebooks are available:\n\nDialog skill analysis for watsonx Assistant\nMeasure watsonx Assistant Performance.\nAnalyze watsonx Assistant Effectiveness\nDialog Flow Analysis for watsonx Assistant\n\nIf you choose to use the notebooks that are designed for use with Watson Studio, the steps are:\n\n\nCreate a Watson Studio account, create a project, and add a Cloud Object Storage account to it.\n\n\nFrom the Watson Studio community, choose a notebook.\nEarly in the development process, use the Dialog skill analysis for watsonx Assistant notebook to help you get started. The notebook:\n\nExamines the terms that are correlated with each intent in your training data to find anomalies that might identify problems that you can investigate.\nUses a blind test set that you provide to calculate performance on statistical metrics like Accuracy, Precision, Recall, and F1.\nOffers advanced features that you can use to find the causes of common issues, such as why some sentences are often misidentified.\n\nTo learn more about how this notebook can help you improve your dialog, read Dialog skill analysis.\n\n\nAfter you deploy a version of the assistant and collect conversation log data, run the Measure watsonx Assistant Performance notebook.\n\n\nFollow the step-by-step instructions provided with the notebook to analyze a subset of the dialog exchanges from the logs.\nRun the following notebook first:\n\nMeasure: Gathers metrics that focus on coverage (how often the assistant is confident enough to respond to users) and effectiveness (when the assistant does respond, whether the responses are satisfying user needs).\n\nThe insights are visualized in ways that make it easier to understand areas for improvement in your assistant.\n\n\nExport a sample set of the logs from ineffective conversations, and then analyze and annotate them.\nFor example, indicate whether a response is correct. If correct, mark whether it is helpful. If a response is incorrect, then identify the root cause, the wrong intent or entity was detected, for example, or the wrong dialog node was triggered.\n                  After you identify the root cause, indicate what is the correct choice.\n\n\nFeed the annotated spreadsheet to the Analyze watsonx Assistant Effectiveness notebook.\n\nEffectiveness: Provides a deeper analysis of your logs to help you understand the steps that you can take to improve your assistant.
Using the notebooks with Watson Studio	Advanced analysis and log-related tasks	Use the Dialog Flow Analysis for watsonx Assistant notebook to review your dialog. The notebook can help you pinpoint the dialog nodes where customers most frequently abandon the conversation.\nFor more information about how this notebook can help you analyze and assess abandonment, see Do you know where and why users drop off the conversation?.\n\n\nThis process helps you to understand the steps you can take to improve your assistant.
Using the notebooks with standard Python tools	Advanced analysis and log-related tasks	\nUsing the notebooks with standard Python tools\nIf you choose to use standard Python tools to run the notebooks, you can get the notebooks from GitHub.\n\nDialog Skill Analysis for watsonx Assistant\nIBM® watsonx™ Assistant Recommendation notebooks (Measure and Analyze Effectiveness)\nIBM® watsonx™ Assistant Dialog Flow Analysis notebook\n\nThe watsonx Assistant Continuous Improvement Best Practices Guide              outlines which notebook to use at each stage of your improvement process.\n
Using the logs API	Advanced analysis and log-related tasks	\nUsing the logs API\nYou can use the /logs API to list events from the transcripts of conversations that occurred between your users and your assistant. For conversations created with the v2 /message API, use the instance-level endpoint\n            to list log events in all workspaces, and then filter by Assistant ID. For more information, see Filter query reference.\nThe API logs messages that are exchanged in conversations that are defined by a dialog skill only.\nThe number of days that logs are stored differs by service plan type. For more information, see Log limits.\nFor a Python script you can run to export logs and convert them to CSV format, download the export_logs_py.py file from the watsonx Assistant GitHub repository).\n
Understanding terminology	Advanced analysis and log-related tasks	Understanding terminology\nFirst, review the definitions of terms that are associated with Watson Assistant logs.\n\nTerminology\n\n\nTerm\nDefinition\n\n\n\n\nAssistant\nAn application - sometimes referred to as a 'chat bot' - that implements your Watson Assistant content.\n\n\nAssistant ID\nThe unique identifier of an assistant.\n\n\nConversation\nA set of messages that an individual user sends to your assistant, and the messages your assistant sends back.\n\n\nConversation ID\nUnique identifier that is added to individual message calls to link related message exchanges together. App developers that use the V1 version of the Watson Assistant API add this value to the message calls in a conversation by including\n                  the ID in the metadata of the context object.\n\n\nCustomer ID\nA unique ID that can be used to label customer data such that it can be deleted if the customer requests the removal of their data.\n\n\nDeployment ID\nA unique label that app developers of the Watson Assistant API V1 version pass with each user message to help identify the deployment environment that produced the message.\n\n\nInstance\nYour deployment of Watson Assistant, accessible with unique credentials. A {{site.data.keassistant_classic_shortnshort}} instance might contain multiple assistants.\n\n\nMessage\nA message is a single utterance that a user sends to the assistant.\n\n\nSkill ID\nThe unique identifier of a skill.\n\n\nUser\nA user is anyone who interacts with your assistant.\n\n\nUser ID\nA unique label that is used to track the level of service usage of a specific user.\n\n\n\nThe User ID property is not equivalent to the Customer ID property, though both can be passed with the message. The User ID field is used to track levels of usage for billing purposes. The Customer ID            field is used to support the labeling and subsequent deletion of messages that are associated with users. Customer ID is used consistently across all Watson services and is specified in the X-Watson-Metadata header. User ID is\n            used exclusively by the Watson Assistant service and is passed in the context object of each /message API call.
Associating message data with a user for deletion	Advanced analysis and log-related tasks	\nAssociating message data with a user for deletion\nThere may be cases when you want to completely remove a set of your user's data from a Watson Assistant instance. When the delete feature is used, the Overview metrics don't include those deleted messages, and results in fewer Total Conversations.\n
Before you begin	Advanced analysis and log-related tasks	"Before you begin\nTo delete messages for one or more individuals, you first need to associate a message with a unique Customer ID for each individual. To specify the Customer ID for any message that is sent with the /message              API, include the X-Watson-Metadata: customer_id property in your header. You can pass multiple Customer ID entries with semicolon separated field=value pairs, by using customer_id,\n              as in the following example:\ncurl -X POST -u ""apikey:3Df... ...Y7Pc9"" \\n --header \\n   ""Content-Type: application/json"" \\n   ""X-Watson-Metadata: customer_id={first-customer-ID};customer_id={second-customer-ID}"" \\n --data ""{\""input\"":{\""text\"":\""hello\""}}"" \\n ""{url}/v2/assistants/{assistant_id}/sessions/{session_id}/message?version=2019-02-28""\n\nwhere {url} is the appropriate URL for your instance. For more information, see Endpoint URLs.\nThe customer_id string cannot include the semicolon (;) or equal sign (=) characters. You are responsible for ensuring that each Customer ID parameter is unique across your customers.\nFor instructions on how to delete messages that use customer_id values, see the Labeling and deleting data in watsonx Assistant."
Adding conditions to an action	Adding conditions to an action	Adding conditions to an action\nIBM Cloud\nAn action condition is a Boolean test, based on some runtime value; the action runs only if the test evaluates as true. This test can be applied to any variable. By defining action conditions, you can do things such as control user access to actions\n          or create date-specific actions.\nFor more information about variables, see Using variables to manage conversation information.\nA basic action condition is expressed in the following form:\nIf {variable} {operator} {value}\nwhere:\n\n{variable} is the name of a variable or an expression.\n{operator} is the type of test to apply to the variable value (for example, is or is not).\n{value} is the value to compare to the variable.\n\nFor example, an action condition might read:\nIf User category? is employee\nIn this example, User category can be a list of employees at your organization. This condition evaluates as true if the user is an active employee. If false, you can control access so that former employees can't use the action.\nConditions can be grouped to construct complex tests.\nTo add an action condition:\n\n\nIn an action, click Customer starts with.\n\n\nClick Conditions.\n\n\n\nConditions\n\n\n\n\nChoose the variable for the condition. You can select:\n\nAn action variable with the customer response from a previous step in the action\nA session variable that contains a value that is stored by any action\nA built-in variable set by the assistant or by an integration\n\nYou can also define a complex condition by writing an expression that defines some other value. For more information about expressions, see Writing expressions.\n\n\nSelect the operator that represents the test that you want to perform on the variable (for example, is or is not). The available operators for a particular value depend upon its data type. For more information, see\n              Operators.\n\n\nSelect the value that you want to evaluate the condition against. The values available depend upon the type of value that you are testing. For example, a variable that contains an options response can be tested against any of the defined options,\n              and a date value can be tested against any date.\n\n\n\nConditions
Adding conditions to an action	Adding conditions to an action	Conditions\n\n\n\n\nTo add more than one condition to an action, click Add condition.\n\n\nTo add another group of conditions, click New condition group.\nYou can use groups to build complex action conditions. Each group is evaluated true or false as a whole, and then these results are evaluated together. For example, you might build an action that runs only if all conditions in group 1 are\n              true or any condition in group 2 is true. (Groups function like parentheses in the Boolean conditions of many programming languages.)\nAfter you add a group, you can define one or more conditions in the new group. Between groups, choose and or or to indicate whether the conditions in both conditional groups or only one of them must be met\n              for the step to be included in the conversational flow.
Operators	Adding conditions to an action	\nOperators\nAn operator specifies the kind of test that you are performing on a value in a condition. The specific operators available in a condition depend on the customer response type of the value, as shown in the following table.\n\nOperators\n\n\nResponse type\nOperators\n\n\n\n\n\n\nOptions\n\n\n\n\nis\nis not\nis any of\nis none of\n\n\n\n\n\n\nRegex\n\n\n\n\nis\nis not\n\n\n\n\n\n\nNumber\nCurrency\nPercent\n\n\n\n\nis defined\nis not defined\nis equal to (==)\nis not equal to (≠)\nis less than (<)\nis less than or equal to (<=)\nis greater than (>)\nis greater than or equal to (>=)\n\n\n\n\n\n\nDate\n\n\n\n\nis defined\nis not defined\nis on (also allows specific day of the week)\nis not on\nis before\nis after\nis on or before\nis on or after\n\n\n\n\n\n\nTime\n\n\n\n\nis defined\nis not defined\nis at\nis not at\nis before\nis after\nis at or before\nis at or after\n\n\n\n\n\n\nFree text\n\n\n\n\nis\nis not\ncontains\ndoes not contain\nmatches\ndoes not match\n\n\n\n\n\n
Creating intents	Creating intents	\nCreating intents\nIntents are purposes or goals that are expressed in a customer's input, such as answering a question or processing a bill payment. By recognizing the intent expressed in a customer's input, the watsonx Assistant service can choose the\n          correct dialog flow for responding to it.\n
Intent creation overview	Creating intents	Intent creation overview\n\n\nPlan the intents for your application.\nConsider what your customers might want to do, and what you want your application to be able to handle on their behalf. For example, you might want your application to help your customers make a purchase. If so, you can add a #buy_something                intent. (The # that is added as a prefix to the intent name helps to clearly identify it as an intent.)\n\n\nTeach watsonx Assistant about your intents.\nAfter you decide which business requests that you want your application to handle for your customers, you must teach watsonx Assistant about them. For each business goal (such as #buy_something), you must provide at least 5\n                examples of utterances that your customers typically use to indicate their goal. For example, I want to make a purchase.\nIdeally, find real-world user utterance examples that you can extract from existing business processes. Tailor the user examples to your specific business. For example, if you are an insurance company, a user example might look more like\n                this, I want to buy a new XYZ insurance plan.\nYour assistant uses the examples that you provide to build a machine learning model that can recognize the same and similar types of utterances and map them to the appropriate intent.\n\n\nStart with a few intents, and test them as you iteratively expand the scope of the application.
